Tên khuyến mại,Ngày bắt đầu,Ngày kết thúc,Chiến dịch,Ngành hàng,Mã giảm giá,Thông tin mã giảm giá,Mô tả khuyến mại,Banner link,Mã Nhúng Banner,Kích thước banner,Link gốc,Link phân phối
[Aloma 2019]-Giảm 10K cho đơn hàng từ 699K,13-09-2021,30-11-2021,TIKI,Khác,TKII10K,,Giảm 10K cho đơn hàng từ 699K,,,,https://tiki.vn/cua-hang/aloma-2019?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/aloma-2019?ref=sansandeals
[AmandaC Life]-Giảm 10K cho đơn hàng từ 299K,13-09-2021,10-05-2022,TIKI,Khác,MGG68,,Giảm 10K cho đơn hàng từ 299K,,,,https://tiki.vn/cua-hang/amandac-life?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/amandac-life?ref=sansandeals
[Amazing]-Giảm 10K cho đơn hàng từ 349K,13-09-2021,31-12-2021,TIKI,Khác,10AMAZING,,Giảm 10K cho đơn hàng từ 349K,,,,https://tiki.vn/cua-hang/amazing?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/amazing?ref=sansandeals
[AntiB]-Giảm 50K cho đơn hàng từ 1,13-09-2021,30-09-2021,TIKI,Khác,ANTIB50,,Giảm 50K cho đơn hàng từ 1,,,,https://tiki.vn/cua-hang/antib?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/antib?ref=sansandeals
[AppleA]-Giảm 10K cho đơn hàng từ 199K,13-09-2021,13-05-2022,TIKI,Khác,AA10K,,Giảm 10K cho đơn hàng từ 199K,,,,https://tiki.vn/cua-hang/applea?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/applea?ref=sansandeals
[AppleA]-Giảm 20K cho đơn hàng từ 499K,13-09-2021,13-05-2022,TIKI,Khác,AA20K,,Giảm 20K cho đơn hàng từ 499K,,,,https://tiki.vn/cua-hang/applea?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/applea?ref=sansandeals
[Aro Mode]-Giảm 10K cho đơn hàng từ 200K,13-09-2021,01-04-2022,TIKI,Khác,LACEVA03,,Giảm 10K cho đơn hàng từ 200K,,,,https://tiki.vn/cua-hang/lamode?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/lamode?ref=sansandeals
[Bách Hóa Online247]-Giảm 50K cho đơn hàng từ 1,13-09-2021,31-12-2021,TIKI,Khác,CHUNG1500,,Giảm 50K cho đơn hàng từ 1,,,,https://tiki.vn/cua-hang/bali-he-thong-hang-chinh-hang?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/bali-he-thong-hang-chinh-hang?ref=sansandeals
[BALO VIP STORE]-Giảm 10% tối đa 20K cho đơn hàng từ 149K,13-09-2021,01-01-2022,TIKI,Khác,QUANG90,,Giảm 10% tối đa 20K cho đơn hàng từ 149K,,,,https://tiki.vn/cua-hang/balo-vip-store?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/balo-vip-store?ref=sansandeals
[BALO VIP STORE]-Giảm 10% tối đa 30K cho đơn hàng từ 249K,13-09-2021,01-01-2022,TIKI,Khác,QUANG1,,Giảm 10% tối đa 30K cho đơn hàng từ 249K,,,,https://tiki.vn/cua-hang/balo-vip-store?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/balo-vip-store?ref=sansandeals
[BALO VIP STORE]-Giảm 10% tối đa 40K cho đơn hàng từ 349K,13-09-2021,01-01-2022,TIKI,Khác,QUANG40,,Giảm 10% tối đa 40K cho đơn hàng từ 349K,,,,https://tiki.vn/cua-hang/balo-vip-store?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/balo-vip-store?ref=sansandeals
[Ban Mê Organic]-Giảm 10K cho đơn hàng từ 275K,13-09-2021,31-10-2021,TIKI,Khác,10KM8,,Giảm 10K cho đơn hàng từ 275K,,,,https://tiki.vn/cua-hang/ban-me-organic?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/ban-me-organic?ref=sansandeals
[Bảo My]-Giảm 100K cho đơn hàng từ 2 triệu,13-09-2021,03-01-2022,TIKI,Khác,MK100,,Giảm 100K cho đơn hàng từ 2 triệu,,,,https://tiki.vn/cua-hang/bao-my?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/bao-my?ref=sansandeals
[Bảo Tín Watch]-Giảm 100K cho đơn hàng từ 500K,13-09-2021,13-09-2021,TIKI,Khác,BTMGSOC100,,Giảm 100K cho đơn hàng từ 500K,,,,https://tiki.vn/cua-hang/bao-tin-watch?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/bao-tin-watch?ref=sansandeals
[Bé Heo]-Giảm 10K cho đơn hàng từ 110K,13-09-2021,09-04-2022,TIKI,Khác,111KK,,Giảm 10K cho đơn hàng từ 110K,,,,https://tiki.vn/cua-hang/be-heo?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/be-heo?ref=sansandeals
[Bé Heo]-Giảm 20K cho đơn hàng từ 200K,13-09-2021,31-12-2021,TIKI,Khác,22220,,Giảm 20K cho đơn hàng từ 200K,,,,https://tiki.vn/cua-hang/be-heo?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/be-heo?ref=sansandeals
[Bé Heo]-Giảm 30K cho đơn hàng từ 300K,13-09-2021,30-04-2022,TIKI,Khác,31111,,Giảm 30K cho đơn hàng từ 300K,,,,https://tiki.vn/cua-hang/be-heo?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/be-heo?ref=sansandeals
[BearMi Smart Home]-Giảm 100K cho đơn hàng từ 2 triệu,13-09-2021,01-11-2021,TIKI,Khác,BM0002,,Giảm 100K cho đơn hàng từ 2 triệu,,,,https://tiki.vn/cua-hang/bearmi-smart-home?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/bearmi-smart-home?ref=sansandeals
[BearMi Smart Home]-Giảm 30K cho đơn hàng từ 990K,13-09-2021,01-11-2021,TIKI,Khác,JA001,,Giảm 30K cho đơn hàng từ 990K,,,,https://tiki.vn/cua-hang/bearmi-smart-home?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/bearmi-smart-home?ref=sansandeals
[BearMi Smart Home]-Giảm 60K cho đơn hàng từ 1,13-09-2021,01-11-2021,TIKI,Khác,JA002,,Giảm 60K cho đơn hàng từ 1,,,,https://tiki.vn/cua-hang/bearmi-smart-home?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/bearmi-smart-home?ref=sansandeals
[Benguna]-Giảm 15K cho đơn hàng từ 199K,13-09-2021,19-08-2022,TIKI,Khác,FQ1023,,Giảm 15K cho đơn hàng từ 199K,,,,https://tiki.vn/cua-hang/benguna?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/benguna?ref=sansandeals
[Best Partners]-Giảm 20K cho đơn hàng từ 200K,13-09-2021,17-06-2022,TIKI,Khác,ADGFFDHFA,,Giảm 20K cho đơn hàng từ 200K,,,,https://tiki.vn/cua-hang/best-partners?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/best-partners?ref=sansandeals
[Best Partners]-Giảm 25K cho đơn hàng từ 250K,13-09-2021,17-06-2022,TIKI,Khác,SDFGRGRG,,Giảm 25K cho đơn hàng từ 250K,,,,https://tiki.vn/cua-hang/best-partners?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/best-partners?ref=sansandeals
[Bibi Sport]-Giảm 15K cho đơn hàng từ 999K,13-09-2021,30-04-2022,TIKI,Khác,BIBI98,,Giảm 15K cho đơn hàng từ 999K,,,,https://tiki.vn/cua-hang/bibi-sport?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/bibi-sport?ref=sansandeals
[Biluxury Official]-Giảm 10K cho đơn hàng từ 199K,13-09-2021,31-07-2022,TIKI,Khác,BILUXURY03,,Giảm 10K cho đơn hàng từ 199K,,,,https://tiki.vn/cua-hang/biluxury-official?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/biluxury-official?ref=sansandeals
[Biluxury Official]-Giảm 20K cho đơn hàng từ 350K,13-09-2021,31-07-2022,TIKI,Khác,BIGIAM20K,,Giảm 20K cho đơn hàng từ 350K,,,,https://tiki.vn/cua-hang/biluxury-official?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/biluxury-official?ref=sansandeals
[BIN HANDBAG]-Giảm 8K cho đơn hàng từ 150K,13-09-2021,30-09-2021,TIKI,Khác,LUPINE8K,,Giảm 8K cho đơn hàng từ 150K,,,,https://tiki.vn/cua-hang/bin-handbag?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/bin-handbag?ref=sansandeals
[BoBo Store]-Giảm 30K cho đơn hàng từ 349K,13-09-2021,31-12-2021,TIKI,Khác,30SALE2021,,Giảm 30K cho đơn hàng từ 349K,,,,https://tiki.vn/cua-hang/bobo-store?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/bobo-store?ref=sansandeals
[Bún Sạch Khương Huy]-Giảm 10K cho đơn hàng từ 150K,13-09-2021,14-07-2022,TIKI,Khác,KHUONGH10,,Giảm 10K cho đơn hàng từ 150K,,,,https://tiki.vn/cua-hang/bun-sach-khuong-huy?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/bun-sach-khuong-huy?ref=sansandeals
[Bún Sạch Khương Huy]-Giảm 15K cho đơn hàng từ 200K,13-09-2021,14-07-2022,TIKI,Khác,KHUONGH15A,,Giảm 15K cho đơn hàng từ 200K,,,,https://tiki.vn/cua-hang/bun-sach-khuong-huy?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/bun-sach-khuong-huy?ref=sansandeals
[Chanh House]-Giảm 10K cho đơn hàng từ 199K,13-09-2021,31-05-2022,TIKI,Khác,MG10000,,Giảm 10K cho đơn hàng từ 199K,,,,https://tiki.vn/cua-hang/chanh-house?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/chanh-house?ref=sansandeals
[Chanh House]-Giảm 20K cho đơn hàng từ 499K,13-09-2021,31-05-2022,TIKI,Khác,MG20000,,Giảm 20K cho đơn hàng từ 499K,,,,https://tiki.vn/cua-hang/chanh-house?ref=sansandeals,https://go.isclix.com/deep_link/4659213201682656309?url=https://tiki.vn/cua-hang/chanh-house?ref=sansandeals
